Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG
1500.b1.txt,24.07,9.18,7.85,5.85,1,5,2
3018.b1.txt,21.14,11.89,7.93,5.81,4,0,0
1097.b1.txt,22.56,9.53,10.58,6.86,3,2,4
4038.b1.txt,22.9,10.25,8.79,7.06,0,1,0
1528.b1.txt,22.12,11.41,6.4,3.14,6,5,5
2028.b1.txt,18.85,11.67,6.75,7.17,1,0,0
2036.b1.txt,18.36,11.85,8.68,6.84,0,0,0
3501.b1.txt,27.15,10.74,10.43,4.91,2,1,2
0310.b1.txt,22.83,10.12,8.17,6.87,5,2,3
3513.b1.txt,23.33,13.14,9.63,3.62,2,2,3
3525.b1.txt,19.32,11.79,8.21,3.93,3,1,1
2012.b1.txt,21.01,10.11,7.18,6.91,4,0,2
1023.b1.txt,20.19,9.19,12.21,8.95,0,3,4
3511.b1.txt,18.58,11.36,9.94,7.81,0,0,1
3503.b1.txt,25.95,8.39,8.07,4.11,0,2,1
2034.b1.txt,23.42,9.49,7.59,6.96,4,0,2
2049.b1.txt,24.3,10.0,8.35,6.08,4,1,0
1066.b1.txt,20.64,10.64,11.79,6.28,0,2,1
0200.b1.txt,23.28,10.63,8.48,8.88,0,2,2
0300.b1.txt,19.2,10.35,12.72,6.61,10,3,5
4507.b1.txt,24.41,13.82,8.09,5.48,1,1,2
1021.b1.txt,19.04,9.9,9.9,6.47,0,1,3
0139.b1.txt,21.25,9.29,8.4,4.83,0,1,0
4012.b1.txt,23.93,9.4,7.98,7.26,3,2,0
4036.b1.txt,19.25,10.93,10.56,5.59,2,1,1
0103.b1.txt,22.77,10.65,10.65,2.69,3,9,10
3020.b1.txt,20.48,10.81,7.17,4.44,1,6,3
3523.b1.txt,24.1,10.55,11.15,5.52,1,2,7
2018.b1.txt,24.62,10.62,9.1,5.25,3,5,7
2030.b1.txt,18.6,9.09,10.47,7.3,2,0,0
4503.b1.txt,20.17,11.6,6.91,4.01,1,5,4
3519.b1.txt,15.78,10.64,8.87,5.32,1,4,3
0304.b1.txt,20.65,13.04,8.7,7.07,0,1,0
0308.b1.txt,21.1,10.13,10.44,7.91,0,0,1
3515.b1.txt,26.86,11.57,11.02,5.92,1,1,2
1541.b1.txt,21.75,8.46,9.37,6.34,2,2,2
0140.b1.txt,23.01,8.61,7.94,5.92,0,3,0
1006.b1i.txt,22.62,10.32,8.99,5.95,1,3,4
1532.b1.txt,24.13,9.02,9.57,4.72,1,4,1
0105.b1.txt,21.61,9.54,7.6,9.39,0,1,0
1520.b1.txt,22.77,9.04,9.04,6.02,0,8,1
1508.b1.txt,24.42,10.45,8.01,6.38,0,0,0
1081.b1.txt,20.35,11.1,8.79,5.55,3,3,2
2012.b1i.txt,21.01,10.11,7.18,6.91,4,0,2
3509.b1.txt,19.72,11.52,8.19,6.66,2,2,3
1003.b1.txt,24.97,9.99,10.5,5.12,5,3,3
1104.b1i.txt,20.9,8.83,7.84,6.22,3,5,4
2070.b1i.txt,21.34,10.08,6.28,4.97,3,1,1
2032.b1.txt,20.11,12.8,8.44,7.03,1,0,0
3505.b1.txt,17.81,12.23,10.21,8.31,2,1,3
2070.b1.txt,21.34,10.08,6.28,4.97,3,1,1
1006.b1.txt,22.62,10.32,8.99,5.95,1,3,4
1069.b1.txt,18.35,8.97,7.38,7.38,4,4,5
0171.b1.txt,23.54,10.23,7.31,6.58,1,1,2
4035.b1.txt,17.08,12.3,6.95,7.67,1,0,0
0134.b1.txt,22.43,10.41,8.92,7.31,0,0,0
0313.b1.txt,19.83,10.22,7.54,8.03,0,1,0
3510.b1.txt,20.09,9.12,10.62,4.16,3,5,12
1104.b1.txt,20.9,8.83,7.84,6.22,3,5,4
3062.b1.txt,24.97,10.58,11.26,5.56,0,0,0
0122.b1.txt,22.85,12.36,8.36,5.37,0,1,0
3013.b1.txt,22.43,11.1,8.74,4.13,2,0,0
1523.b1.txt,13.23,12.15,9.23,7.38,2,7,1
0165.b1.txt,22.56,10.4,6.77,6.52,8,2,1
3518.b1.txt,19.04,10.38,6.18,7.05,5,3,2
3506.b1.txt,24.97,9.65,8.88,3.6,1,2,2
1100.b1.txt,20.96,10.06,12.04,5.67,0,0,0
3514.b1.txt,25.96,10.65,9.82,4.66,7,1,2
1012.b1.txt,23.71,8.67,8.81,4.47,0,0,0
1112.b1.txt,23.51,11.93,7.52,6.68,0,1,0
3522.b1.txt,22.63,12.18,8.24,5.04,2,1,5
2019.b1.txt,17.17,12.15,8.32,6.21,3,1,0
3508.b1.txt,20.53,9.31,12.05,6.68,1,7,2
2042.b1.txt,17.66,11.96,7.88,6.79,2,1,0
3504.b1.txt,23.06,10.14,9.17,5.14,5,2,10
1102.b1.txt,25.1,9.86,7.81,5.12,0,1,4
0307.b1.txt,23.19,8.62,10.52,3.42,10,6,4
1057.b1.txt,19.17,11.5,8.63,7.56,0,7,0
2066.b1.txt,21.06,14.7,6.52,4.7,5,2,0
3520.b1.txt,26.6,8.14,9.23,6.3,0,2,0
