Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG
0158.b6.txt,16.29,13.13,8.46,7.07,2,0,0
0137.b6.txt,19.06,12.17,9.97,5.87,1,0,0
0238.b6.txt,15.22,14.16,8.85,4.07,2,0,0
0178.b6.txt,18.82,11.43,10.39,6.0,3,0,0
0318.b6.txt,20.94,10.18,9.5,5.49,3,0,0
0185.b6.txt,17.99,14.1,8.27,5.19,2,0,0
0107.b6.txt,18.3,13.27,9.92,4.61,2,0,0
0157.b6.txt,14.08,14.55,7.98,7.2,2,0,0
0223.b6.txt,18.58,12.7,7.38,6.83,2,1,0
0198.b6.txt,16.69,12.4,7.63,4.93,3,0,0
0219.b6.txt,19.33,14.26,6.18,4.28,3,2,0
0151.b6.txt,15.92,12.79,7.48,5.99,3,0,0
