Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG
0130.a4.txt,19.7,10.88,5.88,5.66,9,1,4
3001.a4.txt,16.51,13.88,5.47,5.36,3,0,0
3062.a4.txt,20.12,10.11,8.72,5.45,6,2,5
0122.a4.txt,19.19,11.88,7.48,4.49,6,3,8
1090.a4.txt,16.97,11.96,7.98,4.7,6,3,1
0169.a4.txt,16.04,12.42,7.84,4.22,3,0,1
0177.a4.txt,12.6,14.58,9.13,5.85,4,1,6
0106.a4.txt,15.51,11.12,8.43,4.83,11,1,2
3037.a4.txt,16.7,12.44,7.13,4.89,17,6,9
0165.a4.txt,22.9,11.12,4.69,4.8,9,3,2
0205.a4.txt,17.23,11.81,5.61,5.52,13,1,3
2031.a4.txt,19.0,11.24,7.97,5.46,10,1,2
1100.a4.txt,16.18,12.08,6.8,4.69,6,3,5
2040.a4.txt,16.02,13.86,4.66,3.64,8,3,2
1112.a4.txt,16.7,12.07,6.57,6.14,9,1,1
1012.a4.txt,19.89,10.45,8.86,3.98,7,0,2
0196.a4.txt,14.58,13.5,7.02,4.77,5,0,2
2076.a4.txt,16.46,12.46,6.67,5.12,6,0,0
2015.a4.txt,17.96,10.68,7.28,5.22,8,5,3
0188.a4.txt,19.3,11.19,7.25,4.8,9,1,3
1055.a4.txt,17.26,10.99,7.06,4.93,9,6,1
2019.a4.txt,16.89,13.04,5.33,4.54,8,1,0
2064.a4.txt,16.04,12.88,6.08,3.89,7,3,0
2007.a4.txt,16.47,12.29,5.85,5.61,7,4,3
1036.a4.txt,19.14,12.58,6.56,5.76,11,1,4
2021.a4.txt,17.25,14.34,5.59,4.78,3,0,2
1010.a4.txt,19.03,8.44,8.26,5.48,10,1,2
0215.a4.txt,21.2,11.16,6.29,3.56,5,1,3
2042.a4.txt,16.41,10.5,7.44,3.06,10,2,0
0219.a4.txt,14.23,13.39,7.6,6.76,7,0,2
1102.a4.txt,15.71,11.95,9.07,4.42,7,3,2
1061.a4.txt,17.29,12.89,6.28,4.19,4,2,0
2050.a4.txt,17.18,11.69,7.88,2.39,5,0,1
1049.a4.txt,15.53,12.17,9.27,5.45,8,2,0
0198.a4.txt,13.11,11.89,5.0,4.11,9,2,4
