Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG
5046.a2.txt,19.91,11.86,9.37,6.59,0,1,0
2021.a2.txt,20.92,10.46,11.14,7.88,0,1,0
1010.a2.txt,22.68,9.92,10.58,5.02,0,3,2
0215.a2.txt,17.66,14.9,10.62,5.52,0,0,0
2042.a2.txt,19.27,10.8,8.76,5.69,0,0,0
5025.a2.txt,20.68,9.52,6.99,7.29,2,2,1
0219.a2.txt,17.26,12.25,6.98,7.38,0,1,0
1102.a2.txt,20.87,12.07,8.01,4.99,0,4,1
5029.a2.txt,21.23,12.54,7.41,5.41,0,2,0
1002.a2.txt,19.19,12.88,7.1,4.07,0,1,2
0207.a2.txt,19.71,12.37,7.63,5.18,0,1,0
1061.a2.txt,16.27,11.8,7.58,6.21,0,3,0
2050.a2.txt,25.18,9.85,10.41,4.36,0,3,4
5037.a2.txt,21.61,9.58,8.62,6.16,0,1,0
2005.a2.txt,22.76,13.16,8.24,5.17,0,1,2
0198.a2.txt,20.06,9.95,8.55,4.04,1,5,1
1049.a2.txt,26.68,10.56,9.7,4.71,0,1,1
1034.a2.txt,16.15,11.11,8.27,5.3,0,0,1
0186.a2.txt,18.46,13.43,6.99,7.13,0,0,0
1057.a2.txt,14.01,10.77,8.04,4.67,1,0,1
0231.a2.txt,23.21,10.9,6.54,4.74,1,0,1
5001.a2.txt,20.95,6.98,9.06,6.24,2,2,2
2066.a2.txt,22.89,11.13,8.59,6.04,0,1,0
2017.a2.txt,21.42,12.96,9.82,6.28,0,0,0
1026.a2.txt,16.52,13.54,6.98,3.15,0,2,0
0223.a2.txt,21.06,10.36,10.93,2.88,0,13,4
0194.a2.txt,20.99,11.74,10.5,4.01,0,2,2
2009.a2.txt,21.45,10.36,9.32,3.99,1,2,1
5013.a2.txt,18.63,12.13,8.44,5.98,3,1,2
2074.a2.txt,21.83,9.54,10.85,5.49,2,5,6
4015.a2.txt,25.32,10.24,8.53,4.98,0,0,2
3072.a2.txt,21.19,9.79,9.42,6.82,0,1,0
1092.a2.txt,15.51,12.88,6.23,8.31,0,0,2
0143.a2.txt,21.64,11.61,10.64,4.77,0,3,0
0120.a2.txt,20.25,11.79,8.18,6.24,0,6,0
4019.a2.txt,17.15,15.35,8.58,6.22,0,1,0
3003.a2.txt,23.33,10.21,11.54,4.37,0,2,2
0167.a2.txt,19.67,9.89,9.48,6.73,1,1,0
0104.a2.txt,23.37,10.01,7.51,3.76,4,1,0
0179.a2.txt,21.19,10.88,10.31,4.24,0,1,0
3035.a2.txt,19.0,11.12,8.62,4.5,0,1,5
3044.a2.txt,16.39,11.06,8.26,5.18,1,5,7
4023.a2.txt,16.52,13.94,5.89,5.17,0,2,0
0175.a2.txt,19.42,13.22,6.61,4.82,0,1,1
4040.a2.txt,18.97,10.92,6.18,5.32,1,0,0
0130.a2.txt,20.15,10.87,7.33,5.98,4,4,2
3001.a2.txt,12.69,13.89,5.87,5.27,0,4,3
3062.a2.txt,19.64,13.26,6.11,4.94,0,0,0
4005.a2.txt,24.4,10.39,11.16,4.6,0,0,1
0122.a2.txt,20.4,10.5,7.91,5.48,2,2,2
4009.a2.txt,18.35,11.58,5.73,4.01,0,1,0
3013.a2.txt,17.25,12.17,7.54,3.62,1,0,0
4017.a2.txt,21.62,9.92,10.27,7.89,1,4,1
1090.a2.txt,21.19,12.0,6.28,6.05,0,0,0
4042.a2.txt,22.0,10.43,6.57,3.29,0,0,0
0169.a2.txt,19.91,11.74,13.31,5.7,1,1,2
4021.a2.txt,17.91,13.09,6.06,5.79,0,1,1
0177.a2.txt,17.52,9.93,9.67,7.06,0,4,0
0106.a2.txt,19.35,10.75,8.2,6.05,0,2,1
3037.a2.txt,24.97,10.0,10.84,5.1,2,0,2
4033.a2.txt,14.04,14.16,6.89,6.64,1,1,0
0118.a2.txt,19.24,13.03,9.7,4.39,0,0,0
0165.a2.txt,22.62,10.98,9.67,5.25,1,2,1
5048.a2.txt,18.33,13.82,5.75,6.57,0,1,0
0205.a2.txt,23.49,11.2,9.16,5.06,2,2,2
