Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG
3072.a1.txt,15.17,15.38,8.55,7.91,0,2,0
0143.a1.txt,15.64,13.85,8.23,7.68,0,1,1
1092.a1.txt,11.14,14.01,6.78,9.94,0,3,0
0120.a1.txt,14.08,13.38,7.46,8.73,3,1,0
3011.a1.txt,21.17,9.95,8.42,5.1,0,4,1
0151.a1.txt,10.33,15.7,5.8,8.2,0,1,0
3003.a1.txt,16.39,12.83,10.93,8.55,2,2,1
0167.a1.txt,14.01,12.71,7.01,10.57,0,5,3
0104.a1.txt,14.4,12.77,6.25,7.47,0,3,1
0179.a1.txt,12.96,14.1,6.13,6.41,0,2,0
3035.a1.txt,14.38,11.33,7.84,5.88,3,3,1
3044.a1.txt,16.92,10.63,8.24,8.89,0,1,1
0108.a1.txt,13.21,13.96,5.71,7.21,0,1,0
3039.a1.txt,17.89,14.39,9.12,9.12,0,0,0
0175.a1.txt,11.61,14.21,7.1,8.2,0,5,1
0116.a1.txt,14.51,13.24,6.7,9.25,0,2,0
3027.a1.txt,15.04,13.67,8.98,6.45,0,2,0
2021.a1.txt,15.6,13.63,8.65,6.68,0,3,0
1010.a1.txt,14.25,13.35,8.24,6.27,2,14,1
1073.a1.txt,15.5,14.21,7.24,7.11,1,10,0
0215.a1.txt,13.99,12.05,5.11,6.74,6,9,9
2042.a1.txt,11.03,12.71,7.54,6.84,2,2,0
0219.a1.txt,15.98,12.15,7.93,6.87,0,5,0
1102.a1.txt,13.85,14.74,7.69,8.08,4,6,0
0207.a1.txt,13.81,14.5,6.56,6.42,0,2,0
1061.a1.txt,13.26,12.65,5.95,7.47,0,1,0
2050.a1.txt,17.53,15.22,5.98,3.8,0,2,0
2005.a1.txt,17.13,13.15,8.3,7.11,2,1,1
1049.a1.txt,12.92,13.47,7.22,6.67,0,1,0
0198.a1.txt,14.75,13.2,6.68,5.9,1,2,1
1034.a1.txt,16.42,14.64,6.36,6.66,0,0,0
1057.a1.txt,14.93,15.33,7.46,6.51,0,2,0
0186.a1.txt,13.62,15.89,5.67,8.94,2,3,1
2066.a1.txt,15.23,14.1,10.58,7.62,0,2,0
2017.a1.txt,18.68,11.78,7.9,5.75,0,0,0
1026.a1.txt,11.47,13.31,6.8,5.34,1,3,1
0194.a1.txt,12.13,15.28,8.54,7.42,1,5,1
0223.a1.txt,15.07,11.76,9.19,7.17,0,0,0
2009.a1.txt,14.2,12.84,6.03,6.23,0,1,0
1038.a1.txt,13.78,11.61,6.19,7.74,0,3,3
2074.a1.txt,15.47,9.81,9.25,10.08,1,6,4
0205.a1.txt,13.91,14.53,8.2,6.96,1,1,0
1063.a1.txt,14.06,13.92,8.3,7.1,5,3,0
2031.a1.txt,13.59,14.29,8.04,8.46,0,0,1
