Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG
1050.a5.txt,18.76,11.3,8.25,5.54,5,11,2
0200.a5.txt,17.23,12.85,7.97,4.88,4,6,6
2049.a5.txt,24.3,10.81,12.09,3.72,6,2,0
1005.a5.txt,19.69,10.06,6.82,3.84,4,7,3
2034.a5.txt,19.54,10.34,6.75,4.03,5,10,10
2045.a5.txt,21.23,10.82,8.19,3.64,9,7,3
1074.a5.txt,20.91,10.45,8.97,5.72,3,3,0
2026.a5.txt,20.58,9.28,8.21,5.01,4,9,0
0111.a5.txt,18.42,10.97,8.52,3.41,8,8,6
0103.a5.txt,21.92,11.21,6.83,4.28,3,7,3
1099.a5.txt,18.44,11.78,7.17,4.0,10,4,1
1095.a5.txt,16.72,10.4,9.23,4.47,4,4,4
0139.a5.txt,15.5,11.93,6.15,3.49,9,4,5
