Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG
0200.c1.txt,12.78,11.21,7.59,6.03,19,6,8
0238.c1.txt,12.86,11.41,4.56,3.56,17,6,7
0502.c1.txt,14.82,12.99,4.48,4.62,15,4,4
0140.c1.txt,18.92,9.65,5.44,4.4,34,7,10
0219.c1.txt,16.02,10.32,6.16,5.7,24,6,12
0501.c1.txt,14.21,10.17,5.41,5.08,14,6,9
0165.c1.txt,20.83,9.24,6.89,3.47,26,5,4
