Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG
0139.b4.txt,18.35,11.04,6.04,3.65,9,3,7
0103.b4.txt,15.75,12.21,7.08,5.31,6,2,1
2034.b4.txt,15.99,10.87,7.16,4.46,12,3,4
0200.b4.txt,14.75,10.86,7.94,8.59,11,2,0
0300.b4.txt,18.64,12.86,5.38,3.89,13,3,5
1021.b4.txt,15.64,11.68,5.24,4.38,11,5,4
0310.b4.txt,17.83,12.31,7.45,4.92,9,2,2
1023.b4.txt,14.22,9.93,9.33,9.48,7,0,3
0158.b4.txt,15.84,12.29,6.93,6.46,13,2,1
1097.b4.txt,16.79,12.2,6.17,5.72,10,0,4
1528.b4.txt,15.6,12.3,5.7,6.08,7,2,1
1003.b4.txt,18.47,12.58,5.9,2.44,4,3,2
0318.b4.txt,18.24,11.49,4.56,4.44,12,5,8
0178.b4.txt,17.38,12.12,7.59,7.04,11,3,1
1532.b4.txt,14.46,12.22,4.22,6.11,12,3,6
0105.b4.txt,13.52,11.03,5.56,6.33,10,2,5
1520.b4.txt,16.06,10.81,7.23,4.95,5,3,3
1508.b4.txt,15.0,12.13,5.56,3.71,10,3,4
0107.b4.txt,20.06,12.18,7.4,2.63,7,4,6
0140.b4.txt,13.48,12.16,4.52,5.28,10,3,5
2018.b4.txt,15.76,14.71,4.39,4.49,10,1,1
2030.b4.txt,15.56,11.83,6.16,5.02,7,2,2
0308.b4.txt,15.96,10.9,6.05,6.64,5,1,2
1069.b4.txt,14.79,13.55,6.49,7.92,7,3,4
0219.b4.txt,16.82,10.14,5.64,4.91,13,1,5
1057.b4.txt,16.59,11.59,5.36,3.77,9,2,0
1100.b4.txt,16.63,11.71,5.41,3.35,4,3,1
1112.b4.txt,15.81,13.15,5.32,4.65,10,3,6
0165.b4.txt,14.29,11.64,5.3,4.73,9,4,6
